text, labeling
신경수 교수님 한테 초등학교때 일년 넘게 진료 받은 기억이 있네요 신경수 교수님 덕분에 제 몸이 너무 좋아졌어요 교수님 보고 싶네요 항상 건강하세요, 1
힙한 의사님 ㄷㄷ, 2
존경합니다., 1
신경수 교수님 보고싶어요, 1
이게 말이되냐. 당뇨로 죽는다는데. 인슐린을 냉장보관 못해서 당뇨로 죽는다는데 당뇨라는 병이 못먹어서 생기는 병이냐 세이브더 칠드런 굿네이버스에 의하면 아직도 굶어죽는 애들이 드글드글 하다던데 당뇨란다. 뭐가 진실이냐, 3
교포입니다 후원 할 수수 있는 방법을 알려주세요. 한국방송을 통해서 보니 어떻게 성금을 보내야 할지 모르겠어서.., 0
빨리 전세계적으로 소아당뇨환자를 치료하기 위해서는 아까도 언급했듯이 인슐린을 냉장보관할 때가 없어 힘들었다고 했는데 내가 알기론 배에 붙이는 인슐린이 개발됐다고 알고있다. 주사바늘도 필요없고 음식물섭취에 자동반응해서 인슐린이 분비되니 저혈당, 고혈당 걱정도 없고 .. 아직까지 비보험이라 비싼게 문제지. 빨리 보험이 되어서 모든사람들이 당뇨에서 해방되기를 빈다. 붙이는 인슐린 빨리 나와라, 2
작은 금액이라 부끄럽지만 용기내어 국경없는 의사회 후원 시작했습니다. 좀더 일찍 알고 후원하지 못해 안타까운 마음입니다. 인류를 위한 활동을 하시는 의사선생님들께 항상 감사드립니다., 0
형님 여기서 인사 드립니다. 늘 건강하고 행복하시기 바랍니다. 항상 자랑스럽고 응원합니다., 1
우리 아이가 원인을 몰라 한달간 입퇴원 할때 병의 원인을 찾아주신분이네요. 여기서 활동하고 계시다니 오랜만에 반가웠습니다., 1
국경없는 의사회와 의사 선생님의 귀한 섬김을 지지하고 응원합니다!, 1
왜 화면 아래나 위에 후원전화를 안넣죠? 바로 전화하게 해놓아야 하지 않나요? 찾아야 되잖아요., 3
교수님 우리아기 태어날때 제주대학병원에서 뵙는ㄷㅔ 이렇게 유튜브에서 뵙게 되네요 정말 친절하신 교수님이셨었죠~^^ 벌써 22년 됬네요 그때정말 감사합니다 ~, 1
교수님 응원합니다~, 1
이분집 혹시 창원아닌가요?, 2
교수님 멋져요^^~, 1
오렌만입니다. 여기서 뵙네요. 늘 건강하시길.., 1
교수님 안녕하세요 졸업 후에도 마음 한켠에 가르침을 언제나 잊지 않고 있습니다. 항상 건강하시고 응원합니다., 1
"우리나라에서는 귀하지도 비싸지도 않은 약이 없어서 생명이 스러진다니 이걸 어떻게, 어떻해야 할까요. 저는 한달 만원을 정기후원하는데 처음 후원신청서를 쓸때는 만원을 써넣기가 손이 부끄러웠지만 그나마도 잘했다는 생각이 듭니다. 뜻있는 분들, 망설이지 말아주시라고 이런 글을 써봅니다.", 0
오늘 마트갔다가 후원캠페인 나온 두 젊은이들을 통해서 후원하게 되었는데요 매월 적은 금액이지만 힘이 된다니 감사합니다, 0
경수쌤 반가워요 늘 응원합니다 사랑하고 건강해야되요, 1
감사합니다~ 사랑합니다~ 건강 잘 챙기시고 멀리서 늘 응원합니다~, 1
활동가님의 희생정신에 존경을 표합니다, 1
선생님 반갑습니다~ 제주도 계셨을 때 정말 고마웠습니다., 1
우리나라 소아과 비상이라 소아과 전문의 한 분 한 분이 아쉬운데 멀리 아프리카로 가셨네요, 3
여러분 이 분에게 한국은 무시하니 어쩌니 하며 강요하지 마시고 일단 자신이 먼저 도울 생각을 하시는게 어떨까요?, 3
그렇게 오지사람들은 도와주고 한국오시면 환자 가려받는 의사분들 아~주 존경합니다요~, 3
지금 외국만큼 한국도 급합니다, 3
홍보비만 연 수십 억 원을 쓰는 단체입니다. 절대 기부하지 마세요., 3
일반인이 평생 저축할 돈을 개원만 하면 한달에 버는 의사들인데.. 일반인들에게 기부까지 바라다니.. 기부는 좋은 일이긴 하나 현재 우리나라에선 사람들이 응급실을 못가 죽어나가는데 굳이 해외 봉사활동을 위한 스폰 광고를.. 그리고 운영진 월급이나 일반 집행비용으로 처리되는게 너무 많은건 모든 자선단체의 비밀., 3
감사하고 감사합니다, 1
응급실 뺑뺑이 하다가 죽어가는 우리나라 환자들부터 살리시죠.., 3
최용준 의사님, 이렇게 다른 사람들을 위해 일해주시는 모습 너무 존경스럽습니다. 처음 보는 사람이라도 최선을 다해서 치료해주시고, 간병해주시는 모습을 보고 제가 본 받아야 되는 점을 많이 깨닭았습니다. 너무 무리하시지 마시고 앞으로도 파이팅 하세요!, 1
의사넘들 연봉몇억에 제약사 리베이트, 약국에서 돈 받아쳐먹고 처방전 담합하고 향정신성마약류 현금30만원씩 받아쳐목고 놔주고도 모자라 앵벌이하냐.., 3
돈이 원래대로 제자리로 돌아 갔으면 좋겠고, 의료비 지원이 잘 되었으면 좋겠습니다, 1
내가 돈이 많이 있으면 국경없는의사회에 많은 일을 하고싶습니다., 0
감사합니다, 1
원래 어느도움을주는사람들은 없는사람들이 없어본 사람들이 도와주는것인거같네요 예전이나 지금이나 그게아타까울뿐입니다, 3
국경없느의사회 산부인과의들께 반문하고싶어요 과연 그아이들의 탄생이 아이자신에게 축복일까요? 삶 자체가 지옥인 그들에게요 의사들 자신들의 성취감과 가치관에땜에 지옥의 삶이 주어지는데요 의사 본인이라면 태어남이 축복인지 생각해보시길요, 3
수고가 많으십니다 ~, 1
한사람이라도 더 살리기위해 노력하시는 모습이 보기 좋습니다 응원합니다, 1
한국에 치료를 못 받는 소외계층은 누가 도와주나요?, 2
최용준 선생님의 국경없는 의사회에서 일하신 체험담이 마음에 크게 와닿았습니다. 활동에 감사합니다. 우리가 겪은 6.25 남핌 전쟁때도 많은 국가에서 지원과 후원을 해주었음을 생각합니다. 후원하겠습니다., 0
선생님 감사합니다 저도 아프리카 우간다 우물 파주기와 재능 나눔에 다녀왔지만 그 짧은 시간도 너무 힘들고 불편한 점이 한두 가지가 아니었는데 그 환경에서 살아가고 있는 마을 주민들을 보면서 돌아오는 발걸음이 무거웠답니다 의사가 없어 죽어가는 마을 사람들을 살리시는 손길에 존경과 사랑을 보냅니다, 1
존경합니다 선생님 늘 건강하세요, 1
너무작지만 작은 도움함게 보내고 의사선생님이 늘 행복하셨으면 고맙겠습니다 어떻게조그만한 도움 드릴까요 온라인 계좌 주세요, 0
존경합니다, 1
정말 이런분들 존경스럽습니다, 1
와ㅠ 다큐3일에서 구호활동하고싶다고 하셨는데 진짜 되셨네요ㅠ 진짜 존경스럽습니다 진정한 의사이십니다.., 1
아 낯이 익다 했더니 다큐 3일인가 어디서 서울아산병원 소아청소년과 레지던트 하셨던분이였넹ㅠㅠ내적 친밀감ㅋㅋ, 2
후원하겠습니다..어디다 연락해야는지요, 0
국경없는 의사회 활동하시는 분들 진심으로 존경합니다 저도 미약하나마 동참하고 있는 일원으로서 뿌듯하네요 언제나 감사드립니다~^^, 0
젋은이들이 더위에 고생한다 싶어서 반강제적으로 후원을 시작한듯한데 잘한듯 싶군요 선생님 화이팅입니다, 1
"이 시대에 진정한, 휼륭한 의사 선생님이시네요.", 1
지금 러.우 전쟁을 보면 생명을 죽이는 일에도 국경이 없습니다 인듯, 3
광고에 나와서 어디에서 봤는데 했더니 다큐3일에서 본 분이네요 그때도 의사 면허 후 봉사활동 할 계획이라 들은거 같은데 말한 뜻 그대로 관철하는 모습에 존경스럽습니다, 1
항상 존경하고 응원합니다!, 1
상대적으로 열약한 환경임에도 불구하고 항상 최선을 다해 환자들을 치료하시는 모습이 정말적입니다.항상 응원하겠습니다!, 1
"저희 아이가 코로나에 걸려서 고열로 입원했을때 만나뵈었던 선생님이셔서 깜짝 놀랐습니다. 그때도 쉬는날에도 병원에 나오셔서 진료해 주시고, 환자를 진심으로 대해주시는것 같아 이런 의사선생님 처음 만나보는데?라는 생각에 퇴원후에 주변 지인들에게 정말 좋은 의사선생님을 만난것 같다고 이야기 했었습니다. 역시 훌륭하신 분이시군요. 감사합니다.", 0
최용준 선생님! 소아과 의사선생님들은 어린이들을 위해 봉사하시니 마음이 따뜻하시지요. 사랑과 헌신으로 수고해주심에 감사드립니다. 오래 오래 환자분들과 어린이들과 함께 행복하시길 기도합니다., 1
다큐 3일에서 인상깊었어요! 국경없는의사회에서 활동가로 계시는군요! 아픈 환자들이 있으면 국경없이 어디든 찾아가는 국경없는의사회 늘 응원합니다., 1
후원하고 싶습니다 많이는 못해도요, 0
등잔 아래도보고 삽시다., 3
영상 잘 보았습니다.정말 소중한 일을 하시네요. 영상 보고 구독하고 후원하기로 했습니다~^ 항상 건강하게 활동해주세요~, 0
우크라이나사태보니 대표들만 링위에올라가 싸우면좋겠다싶어요..폭격으로 구멍뚫린 집천장을 망연히바라보고있는 86세할머니사진을보니 화가나네요.. 죄없는 국민들이 피난가고다치고.. 대표들만 글러브끼고 링위에올라가세요.. 화가나요.., 3
울지마톤즈 태석신부님같은분이시네요.. 운송수단이없어 치료를포기하는게 안타까워요 환자가 죽으면 보호자가 얼마나 죄책감이들고힘들까요.. 병치료가 어려운것도 안타깝지만 시신을 옮길수없어 포기하는건 더 안타까워요.., 1
유튜브에서 아산병원 이었나요 ? 다큐에서 선생님 본거 같아요 우리조카 때문에 강릉아산병원에서 진료 받았는데 그 교수님 도 다큐에서 봤던기억 이, 2
"어디서 들어본 말투라 화면을 보니 정말 선생님 맞네요. 미로보건지소 제 후임으로 처음 뵈었을때 그 순수청년은 십년도 더 지난 지금 그 모습 그대로군요. 저는 17년째 아니 앞으로도 누구 한사람 제대로 살려내질 못할 것 같은데, 선생님은 이미.. 열악한 환경일텐데 늘 건강에 유의하시고, 뜻하신바 모두 이뤄가시길 응원합니다.", 1
본인의 생각이면 그런생각이라는 표현보다는 이런생각이라고 표현해야 바른 표현입니다., 3
다큐 3일에서 정말 인상깊게 보았던 선생님이신데 7년이 지난 세월 그 꿈을 현실로 옮기신 용기와 노력에 존경을 보냅니다. 앞으로의 행보도 건강하시고 안전하시길 축복합니다^^, 1
너무 너무 휼륭하심니다 조금이라도 후원합니다 건강하세요^^, 0
다큐3일 정말 인상깊게 봤었는데 갑자기 유튜브 광고로 나오셔서 어디서 봤었지..하다가 딱 다시 기억나더라고요!, 1
고맙습니다 천국을 만드시는 분이십니다, 1
존경합니다!, 1
다큐3일에서 헌신적으로 일하시는 모습 봤어요..그때도 의료봉사 하고 싶다고 하셨는데 너무 감동입니다!, 1
다큐멘터리 3일에 나오신 분이네!, 2
생명을 살리는 일에는 국경이 없습니다, 1
최용준 활동가님과 같은 분들 덕분에 조금이라도 더 나은 세상으로 변화되고 있는 것 같네요~! 감사하고 존경합니다, 1
"국경없는의사회는 가장 도움이 필요한 곳에 가장 먼저 가장 빨리 달려간다 현지 의료가 미치지 못하는 오지에 몸 사리지 않고, 달려가는 조직 그리고 그 속의 손발이 되어 소중한 생명을 살리는 의료진들.. 모두 정말 대단하고 멋집니다! 최용준 활동가님 응원합니다!", 1
예전에 다큐3일에도 나오셧을때 봤었는데요! 저의 멘토이십니다! ㅎㅎ 멋있으세요! 존경합니다!, 1
후원잡니다. 활동가님들 안전도 잘 챙기시기 바랍니다., 0
고맙습니다., 1
의사회 최고입니다 그런데 후원은 물음표 입니다 50프로가 다른 주머니로 들어간다는 것 이것은 안라고 봅니다 한국은 돈에대한 불투명이 큰 문제, 3
국경없는 의사회 경력 문제삼은것 사과드립니다., 1
의사님 의사님 아파트, 2
감사합니다 ^^ 후원으로 함께 합니다, 0
정말 인간적으로 가슴이 따뜻한 분이신것 같아요.. 훌륭하십니다. 한번 만나뵙고 싶은 분이세요~, 1
"천사님! 눈물나게 고맙습니다. 오래, 오래, 건강하세요. 감사합니다. 저도 실천해 보겠습니다.", 0
사치스러운 30년 그런 야기하지마시오, 3
ㅠ정말로 감사드립니다ㅠㅠ, 1
염색이 아이돌이네요, 2
천사님 ! 천사님! 정말 천사님이십니다, 1
좋은일 많이 하시네요, 1
천사님 지천태괘 필승, 1
존경합니다 응원 합니다 감사 합니다, 1
영상 잘 보았습니다~^ 세상에 꼭 필요한 일을 하시네요~ 영상 보고 후원하기로 결심했습니다. 항상 건강하게 활동하시기를 바랍니다~, 0
삼십 년 넘게 의사생활을 하면서 오십이 넘었을 때, 2
이거 구나 마트에서 이거보고 구독했습니다! 의사분들 화이팅 ㅜㅜ, 1
최전방에서의 큰 사랑에 가슴이 뭉클합니다. 후원으로 함께합니다., 0
선생님 존경합니다. 더 무슨말이 필요하겠습니까 멀리서나마 후원으로 열심히 응원하겠습니다. 건강하세요, 0
응원합니다. 존경합니다. 포기하지 말아주세요. 저도 포기하지 않고 응원하겠습니다., 0
정말 존경합니다.. 나중에 크면 꼭 후원 하겠습니다!, 0
알려주세요, 2
이거 뭔지 알려주실 수 있나요?, 2
국경 없는 의사회 수색 작업은 주로 누가 하나요?, 2
항상 감사합니다, 1
이스라엘의 가자 지구 국경없는 의사회 폭격을 규탄합니다., 3
뿌듯하다. 좋은곳에 후원하고 있어서~, 0
국경없는의사회에 몸던진 당신들의 용기가 부럽습니다. 한발 앞 위험이 노려봐도 안무서운척 미소짓는 얼굴로 치료에 몰두하는 당신들의 배짱을 닮고 싶습니다., 1
회원입니다 선생님 여러분 존경하고 사랑합니다, 1
영상 좋네요 ^^ 힘냅시다., 1
후원을 그렇게 받아가는데 약이 왜 말레리아약밖에 없냐고, 3
좋은 일 하십니다. 다만 후원은 웬만하면 건물주인 선후배 동료 의사들한테 받기 바랍니다., 3
국내에서도 공공을 위해 일하셨는데 구호활동도 다녀오셨네요. 앞으로의 행보도 응원하겠습니다!, 1
니들이 봉사하는 거니까 의사 니들끼리 돈 모아서 해 ~ 일반인 괴롭히지 말구 ~ 그렇게 하고 시프면 국내에서 무료봉사나 해 ~, 3
꼴보기 싫으니까 유튜브 광고 하지마라, 3
국위선양에 앞장서는 선생님들 존경합니다!, 1
유튜브광고가은근히스트레스네요. 차라리 의사나 셀럽들을 유퀴즈형식으로 해서 유튜브구독수를늘리시고 광고는 개인적으로 줄이셨음하네요. 뭔가 광고를볼수록 자꾸 거부감이들어요 ㅜㅜ, 3
"난 잘 이해가 안됨.. 의사들은 대체 왜 저들의 가난, 질병, 고통에는 눈물흘리면서 같은 한국인의 가난, 질병, 고통은 모르쇠하는가..", 3
멋있습니다!, 1
ㅈㄹ말고 한국에나 와라 여긴 진료를 못본다, 3
의사들에게 가서 기부받아라.. 의사증원 해서 니들도 경쟁하고 봉사활동 해야지.., 3
이런거 너무 좋다, 1
그러니까.. 결국 아니다 아니다해도 기부자공동모금회재단저소득층 아이 이렇게 거쳐간다는거네.., 3
주민센터에 물품기부하거나 직접 현금 지원 하고 싶다고 하면 됨, 2
구청도 못믿겠다ㅋ, 3
민간기부단체가 횡령해서 저도 안 하게 되었는데 다시 보니 기부할 동기가 생기네요, 1
"기부는 아니겠지. 저렇게 단체가 엮여있는데 ㅡㅡ,. 정확하게 나라에서 다 감당해라 투명하게 ! 그럼 나도 기부할테니까", 3
웃기지 마세요 구마다 다름니다. 정치편향적 구는 지네지방출신지여카정 애들만 집중지원 합니다. 티나게 안합니다 바보가 아니니, 3
옛날에 기부재단에서 호화요트에서 그돈으로 놀고 잇는거보고 개 역겨웠음.., 3
그냥 완전 다이렉트로 계좌번호 알아내서 제가 쏘는 방법은 없나요?, 2
"안녕하세요, 방장님., 구독자 김선생입니다. 소규모지만 제 수업에 이 영상을 좀 활용해도 되겠습니까? 부탁드립니다.", 2
제발 기부업체들이 월급이나 자기들배체우지마라 봉사활동으로 적은 급여로 시간내서 봉사활동 하실분들많다 간부 직원들 대기업수준으로받으면서 제발 믿고 기부할수있게해라 참고로 우리 부모님 아무것도모르시고 기부업체에 10만원씩보내고있었다 자식들 잘되라고 기부하고 기도하신다고 그기부업체는 교회인데 믿을수가없네 다단계처럼 부모님들 모아놓고 권사 단다고 감사헌금 십일조 등등 정도를 넘어서는거같다, 3
기부는 절대 하지마 병신짖이다, 3
화교 가 먹는댜, 3
우리동네는 개인대개인연결은 안해줌, 2
"기분 단체들 말고 유튜브나,주위에 둘러보면 진짜 어렵게 사시는분들있었요. 차라리 인기없는 채널 명확하게 일상 생활고에 시달리시는분들 많아요. 진심 우럭 날정도로 돕고싶다는 마음있으시다면 차라리 그런분들 에게 직접 기부하시는게 좋아요. 동사무소 복지를 통해서 기부하게되면 여기저기서 후원 들어오네하고 어느정도 혜택받고 있는걸 깍여버리면 더 생활고에 힘들 어질수도있었요. 그래서 도움이 필요해도 못받는 경우가허다하죠요.ㅜ 후원이 고정으로 매달 들어오는것 도 아닌데 말이지요.", 3
곧장기부가 최고다..기부하고 젤 맘이 편함~), 0
유니세프에 기부하다가 유니세프의 진실이라는 뉴스를 보고 후원을 중단했던게 기억나네요. 기부할땐 기부금이 100 전달되는지 반드시 확인하세요., 3
는 역시 친중방송국이였네 ㅋㅋ 이게 왜 나오나 했다, 3
어린이재단에 기부 했는데 페미단체로 돈이 흘러들어가는 미개한 나라, 3
난 내 기부금 중 일부가 직원 월급으로 나가는 거 아깝진 않음. 내가 직접 발품을 팔아 돕는 대신 기부 단체라는 업체를 고용해 기부라는 서비스를 제공 받는다고 생각하고 있으니까. 하지만 물건을 살 때도 바가지 쓰는 건 좋지 못 한 것처럼 가성비 좋은 기부단체가 좋음. 내가 낸 기부금 중 최대한 많은 액수가 도움이 필요한 이에게 갈 수 있게., 3
아이들이 우리나라의 미래입니다., 1
"공무원인데 00구복지관, 00구 복지재단 같은 지자체 후원기금에 기부해야 100 감. 지자체에서 운영하는 후원기금은 1원도 운영비로 못 씀. 적십자, 사랑의 열매 이런 곳들은 회의비로 1000만원씩 준다는 기사 보고 절대 그런 후원단체엔 기부 안함.", 3
난 저것도 못믿겠다 ㅋㅋ, 3
하루 최소 만원을 권하는 이유가 뭔지 묻겠습니다. 기부하는 사람도 적자생활하는 사람 많습니다. 그 사람만 힘들게 삽니까요? 기부업체 자기네들끼리도 해먹으니까 그러지요. 대한민국만 해도 인구 전체가 100원씩민 해도 목돈나오는 데 기부금을 비싸게 책정하니까 하는 사람이 안나오지요. 기부업체도 욕심 많습니다., 3
이 영상을 만들어서 사람들을 돕자는 의미를 잘 전달 한거 같아 좋은거 같습니다., 1
법을 잘 정비하면 되지. 경비는 30 이상 못쓰게 못 박아놔야 한다., 3
다른건 몰라도 기부단체 횡령은 사형으로 처벌해라. 인간이 할 짓이야?, 3
안녕하세요 저는 마전초 5학년 선플달기운동에 참여하는 입니다 이영상을보니 저도 나중에 기부를해야겠다는 생각이 들었습니다 기부를 하는 사람들을 존경할게요!, 0
길거리에서 스티커좀 붙여달라며 달라붙는 것들 조심하세요~ 불우이웃 돕는척 연기하면서 나중엔 후원유도하는데 그거 100 본인들 호주머니로 들어갑니다 다단계 사기업체들입니다, 3
기부는 직접 찾아가서하세요 정기후원 넣으면 돈안들어갑니다, 3
이체누르기가 싫어지는이유 중간에 무조건 천원이라도 먹을라는놈있음 확실히해야 마음 편할듯, 3
